"cbsacode","num_counties","cbsatitle","num_munis","num_local","pop_muni","pop_total","hhi_pop_muni","hhi_pop_total"
19810,1,"Detroit Lakes, MN",7,44,12843,35219,0.597741661103066,0.0992079486004347
19820,6,"Detroit-Warren-Dearborn, MI",109,207,2853011,4431299,0.0654460386140196,0.0306115381948626
19860,3,"Dickinson, ND",11,11,29289,29289,0.74143532539351,0.74143532539351
19940,1,"Dixon, IL",12,34,21853,55902,0.511834701682675,0.18370299483026
19980,1,"Dodge City, KS",4,18,29409,35878,0.887892022562828,0.600356624134571
20020,3,"Dothan, AL",23,23,106704,106704,0.453121976394238,0.453121976394238
20060,2,"Douglas, GA",6,6,19428,19428,0.408066242189795,0.408066242189795
20100,1,"Dover, DE",19,19,72346,72346,0.334738478872859,0.334738478872859
20140,2,"Dublin, GA",10,10,24750,24750,0.454420987246199,0.454420987246199
20180,1,"DuBois, PA",19,49,22354,80042,0.201783222840262,0.0597012235101646
20220,1,"Dubuque, IA",21,21,80123,80123,0.555889112378439,0.555889112378439
20260,3,"Duluth, MN-WI",42,149,202529,275372,0.216105775995512,0.118431753918525
20300,1,"Dumas, TX",3,3,19042,19042,0.596813950568101,0.596813950568101
20340,1,"Duncan, OK",8,8,32092,32092,0.526146577778716,0.526146577778716
20420,1,"Durango, CO",3,3,22967,22967,0.717734757559214,0.717734757559214
20460,1,"Durant, OK",13,13,26477,26477,0.536515316987975,0.536515316987975
20500,4,"Durham-Chapel Hill, NC",8,8,398451,398451,0.541429431047725,0.541429431047725
20540,1,"Dyersburg, TN",3,3,19876,19876,0.678474670345962,0.678474670345962
20580,1,"Eagle Pass, TX",1,1,28596,28596,1,1
20660,1,"Easton, MD",5,5,20170,20170,0.72750479132628,0.72750479132628
20700,1,"East Stroudsburg, PA",4,20,19642,169273,0.372533853379007,0.0723110131754053
20740,2,"Eau Claire, WI",13,49,115327,173342,0.391614715559384,0.179523988690783
20780,1,"Edwards, CO",7,7,32191,32191,0.199111585149796,0.199111585149796
20820,2,"Effingham, IL",14,37,23193,67968,0.304232172826913,0.0853887427271358
20900,1,"El Campo, TX",3,3,23127,23127,0.429774761822868,0.429774761822868
20940,1,"El Centro, CA",7,7,144268,144268,0.223770949888076,0.223770949888076
20980,1,"El Dorado, AR",8,8,21554,21554,0.65565285922583,0.65565285922583
21020,1,"Elizabeth City, NC",1,1,18703,18703,1,1
21060,2,"Elizabethtown, KY",7,7,67127,67127,0.355892959771233,0.355892959771233
