r,obs,mmean,lo,hi,cbsa,gamma
0,2.122832474692197e-5,1.2337399122353666e-5,1.105517462567206e-5,1.4039137731254045e-5,28140,7.189187015667926e-6
250,9.6994781013295e-6,3.4311601638580265e-6,2.8539190929101828e-6,4.208491765654026e-6,28140,5.490986335675475e-6
500,1.2468693106638255e-5,4.997703874286605e-6,4.210846510290868e-6,6.006038426007792e-6,28140,6.4626546806304635e-6
1000,1.4447199576878963e-5,7.307719309271638e-6,6.1332767602937466e-6,8.222824463645474e-6,28140,6.22437511323349e-6
0,5.623432945946566e-5,2.4090597510470858e-5,2.0091834188620183e-5,2.896411722250288e-5,40900,2.727021223696278e-5
250,8.715218917447342e-6,4.254530003940118e-6,3.719454996216198e-6,4.943849020210673e-6,40900,3.771369897236669e-6
500,1.3998562953247568e-5,7.007425676136292e-6,5.710303417934634e-6,8.117583447176183e-6,40900,5.8809795060713855e-6
1000,9.910601144548362e-6,7.6179754437389665e-6,6.4864868788018045e-6,8.561270968356914e-6,40900,1.3493301761914482e-6
0,3.5943824534333244e-5,1.914285096609994e-5,1.707074623257817e-5,2.097993684144554e-5,18140,1.4963887692887705e-5
250,6.531176349776927e-6,3.1108673125978703e-6,2.731179345306259e-6,3.600942331945216e-6,18140,2.9302340178317114e-6
500,1.3086074416696512e-5,5.715837031645159e-6,5.004319181869024e-6,6.6226526095414655e-6,18140,6.463421807155047e-6
1000,1.619682187666808e-5,8.65782078510782e-6,7.617982949008139e-6,9.545181072645919e-6,18140,6.651640804022161e-6
0,2.475786946769783e-5,1.3948544380203978e-5,1.1323130258682052e-5,1.7622102212898103e-5,39300,7.135767254799728e-6
250,1.634589673285846e-5,5.92663935457529e-6,4.6568856614158515e-6,7.2541215128933816e-6,39300,9.09177521996508e-6
500,1.5895436636222163e-5,5.778601830156535e-6,4.634351958429964e-6,7.517275624735251e-6,39300,8.378161011486912e-6
